<6>Oink 2 ||624 0||2 474 0 476||1774 1100||1387 2308 2308 0

<6>Oink 2 ||1553 1||40 507 0 547||3255 2100||2287 4112 4112 0

<6>Oink 2 ||2550 0||42 508 0 550||375 3100||1289 1504 1505 0

<6>Oink 2 ||3440 1||151 509 0 660||160 4100||1018 1130 1129 0

<6>Oink 2 ||3440 1||1151 509 0 1660||50 5100||0 95 95 0

<6>Oink 1 ||3440 1||2151 509 0 2660||48 6100||0 94 94 0

<6>Oink 1 ||3440 2||3151 509 0 3660||52 7100||0 96 96 0

<6>Oink 1 ||3440 2||4151 509 0 4660||73 8100||0 95 95 0

<6>Oink 1 ||3440 2||5150 510 0 5660||137 9100||0 158 158 0

<6>Oink 1 ||3440 4||6149 511 0 6660||118 10100||0 134 134 0

<6>Oink 1 ||3440 4||7149 511 0 7660||81 11100||0 92 92 0

<6>Oink 1 ||3440 4||8149 511 0 8660||82 12100||0 94 94 0

<6>Oink 1 ||3440 6||9149 511 0 9660||85 13100||0 96 96 0

<6>Oink 1 ||3440 6||10149 511 0 10660||88 14100||0 95 95 0

<6>Oink 1 ||3440 6||11149 511 0 11660||84 15100||0 92 92 0

<6>Oink 0 ||3440 8||12149 511 0 12660||92 16100||0 99 99 0

<6>Oink 0 ||3440 8||13149 511 0 13660||88 17100||0 94 94 0

<6>Oink 0 ||3440 8||14148 512 0 14660||148 18100||0 149 149 0

<6>Oink 0 ||3440 11||15147 513 0 15660||105 19100||0 110 110 0

<6>Oink 0 ||3440 11||16147 513 0 16660||91 20100||0 94 94 0

<6>Oink 0 ||3440 11||17147 513 0 17660||86 21100||0 90 90 0

<6>Oink 0 ||3440 14||18147 513 0 18660||95 22100||0 99 99 0

<6>Oink 0 ||3440 14||19147 513 0 19660||89 23100||0 92 92 0

<6>Oink 0 ||3440 14||20147 513 0 20660||92 24100||0 95 95 0

<6>Oink 0 ||3440 17||21147 513 0 21660||92 25100||0 95 95 0

<6>Oink 0 ||3440 17||22147 513 0 22660||93 26100||0 96 96 0

<6>Oink 0 ||3440 17||23147 513 0 23660||86 27100||0 88 88 0

<6>Oink 0 ||3440 20||24147 513 0 24660||97 28100||0 100 100 0

<6>Oink 0 ||3440 20||25147 513 0 25660||93 29100||0 95 95 0

<6>Oink 0 ||3440 20||26147 513 0 26660||95 30100||0 98 98 0

<6>Oink 0 ||3440 23||27147 513 0 27660||92 31100||0 94 94 0

<6>Oink 0 ||3440 23||28147 513 0 28660||93 32100||0 95 95 0

<6>Oink 0 ||3440 23||29147 513 0 29660||88 33100||0 90 90 0

<6>Oink 0 ||3440 26||30147 513 0 30660||94 34100||0 96 96 0

<6>Oink 0 ||3440 26||31147 513 0 31660||92 35100||0 94 94 0

<6>Oink 0 ||3440 26||32147 513 0 32660||93 36100||0 95 95 0

<6>Oink -1 ||3440 28||33147 513 0 33660||88 37100||0 89 89 0

<6>Oink -1 ||3440 28||34147 513 0 34660||97 38100||0 99 99 0
